Group#,Source Student,Target Student,Score,Comment,,Private
-->Group1,rvu-t1-s1,20.0,"From 'Team1 Student1' about 'Team1 Student1'And they said, "You'll never get it done!"","That's all! It was "fun"! (said Team1 Student1)Don't forget: Bring your towel \ the cake is a lie."
Group1,rvu-t1-s1,rvu-t1-s1,20.0,,"From 'Team1 Student1' about 'Team1 Student1'And they said, "You'll never get it done!""
-->Group2,ctc-t1-s2,16.6,"From 'Team1 Student2' about 'Team1 Student2'And they said, "You'll never get it done!"","That's all! It was "fun"! (said Team1 Student2)Don't forget: Bring your towel \ the cake is a lie."
Group2,ctc-t1-s2,ctc-t1-s2,16.6,,"From 'Team1 Student2' about 'Team1 Student2'And they said, "You'll never get it done!""
Group3,ctc-t1-s2,mmi-t1-s4,0.4,,"From 'Team1 Student2' about 'Team1 Student4'And they said, "You'll never get it done!""
Group3,ctc-t1-s2,pco-t1-s3,39.1,,"From 'Team1 Student2' about 'Team1 Student3'And they said, "You'll never get it done!""
Group3,ctc-t1-s2,eyr-t1-s1,23.9,,"From 'Team1 Student2' about 'Team1 Student1'And they said, "You'll never get it done!""
-->Group3,dmk-t2-s2,28.6,"From 'Team2 Student2' about 'Team2 Student2'And they said, "You'll never get it done!"","That's all! It was "fun"! (said Team2 Student2)Don't forget: Bring your towel \ the cake is a lie."
Group3,dmk-t2-s2,dmk-t2-s2,28.6,,"From 'Team2 Student2' about 'Team2 Student2'And they said, "You'll never get it done!""
-->Group3,eyr-t1-s1,35.5,"From 'Team1 Student1' about 'Team1 Student1'And they said, "You'll never get it done!"","That's all! It was "fun"! (said Team1 Student1)Don't forget: Bring your towel \ the cake is a lie."
Group3,eyr-t1-s1,eyr-t1-s1,35.5,,"From 'Team1 Student1' about 'Team1 Student1'And they said, "You'll never get it done!""
Group3,eyr-t1-s1,mmi-t1-s4,12.6,,"From 'Team1 Student1' about 'Team1 Student4'And they said, "You'll never get it done!""
Group3,eyr-t1-s1,pco-t1-s3,13.2,,"From 'Team1 Student1' about 'Team1 Student3'And they said, "You'll never get it done!""
